date,RMM1,RMM2,phase,amplitude
1950-01-01,-0.0005792576202693394,0.0017347276382263521,7.0,0.0018288847337835361
1950-01-02,-0.15365500659064554,-0.016356514795999026,1.0,0.15452312651070407
1950-01-03,-0.3375098964228522,-0.09874264050925204,1.0,0.3516575596202985
1950-01-04,-0.8479358438182447,-0.14364482892917796,1.0,0.8600168789679953
1950-01-05,-1.3792044535504964,-0.29552241148361574,1.0,1.4105099859209131
1950-01-06,-0.9926428671847567,-0.4806806865626702,1.0,1.1029024363955022
1950-01-07,-0.8303585797322564,-0.34139568268431514,1.0,0.8978008593727562
1950-01-08,-0.7360766902607894,-0.40990674493955714,1.0,0.8425155390212226
1950-01-09,-0.34793693600373365,-0.01612327295568459,1.0,0.3483103090154952
1950-01-10,-0.2514733612335359,-0.03222252743529213,1.0,0.2535293724293313
1950-01-11,-0.27593491796976216,-0.18924887611891678,1.0,0.3345970951267397
1950-01-12,0.40045563740045886,-0.43262471631572397,3.0,0.5895157866360055
1950-01-13,0.7239015616158526,-0.5736198181297043,4.0,0.9236196006262671
1950-01-14,1.0449923529740743,-0.48833059352900143,4.0,1.1534625205660907
1950-01-15,1.2809697624407426,-0.5567494703824155,4.0,1.3967295747776636
1950-01-16,1.2430512913800273,-0.3691441505770371,4.0,1.296705023089984
1950-01-17,0.939604876379437,-0.3175169737605455,4.0,0.9918035855662511
1950-01-18,0.9384689982112734,-0.048976959433553145,4.0,0.939746137613253
1950-01-19,0.46261517266260577,0.3521592403779886,5.0,0.5814025529366503
1950-01-20,0.24092437923286789,0.6082674465965832,6.0,0.6542429541828249
1950-01-21,-0.3544238463176537,0.6836653742887037,7.0,0.7700744164299403
1950-01-22,-0.43904984153146037,0.40945205473331253,8.0,0.6003463570924138
1950-01-23,-0.9286723910888823,0.3466911879099059,8.0,0.9912755367430005
1950-01-24,-1.2087490649484605,0.05497646638686648,8.0,1.209998642094347
1950-01-25,-1.5045381729783907,-0.1575474099543296,1.0,1.512764456329032
1950-01-26,-1.4283487210948302,-0.26044344538565567,1.0,1.4518990520341242
1950-01-27,-1.7062425100254424,-0.3128419895081218,1.0,1.7346854508576826
1950-01-28,-1.5724031163809,-0.23864034576902396,1.0,1.5904089961494576
1950-01-29,-1.4571331144460367,-0.6200418511440488,1.0,1.583568378815814
1950-01-30,-1.0007439987385356,-0.8804603497167076,1.0,1.3329287221882726
1950-01-31,-0.7187195965382751,-1.0253251987348282,2.0,1.2521380201913668
1950-02-01,-0.09171353042697084,-0.9194149296022117,2.0,0.9239779133933986
1950-02-02,0.16532853210522583,-0.8003112520743122,3.0,0.8172096571411904
1950-02-03,0.557449552668903,-0.7745954687609042,3.0,0.9543312548563444
1950-02-04,0.6839099162436851,-1.1245221088324509,3.0,1.316162127851059
1950-02-05,0.242895471062726,-1.4635633653878075,3.0,1.4835821292965443
1950-02-06,0.026497537516887038,-1.4949466225279453,3.0,1.4951814350446468
1950-02-07,0.14091596418525132,-1.5686097624282598,3.0,1.5749266318617832
1950-02-08,0.2954273481123658,-1.2854828107879341,3.0,1.3189933187260474
1950-02-09,0.5957512171413795,-1.3325120044320469,3.0,1.4596258954543615
1950-02-10,0.8415406196049307,-1.3341083343749602,3.0,1.5773508367810192
1950-02-11,0.6571120315355949,-1.3613256843537944,3.0,1.5116229162294952
1950-02-12,0.7839004348921076,-1.2747378461562067,3.0,1.4964813624789985
1950-02-13,0.9916274246622513,-1.2326559119319755,3.0,1.5820131309705172
1950-02-14,1.0219120543100035,-1.0986900808306241,3.0,1.500474638392697
1950-02-15,0.7852819623978701,-1.0570229688122328,3.0,1.3168011683865095
1950-02-16,0.8679100943163569,-0.5895938796225599,4.0,1.0492325169878263
1950-02-17,0.699183426063586,0.04763183816627456,5.0,0.700804006330666
1950-02-18,0.3007591292221099,0.18064347662611932,5.0,0.3508391646581281
1950-02-19,0.01287981399205555,0.23203476281082147,6.0,0.23239195502672663
1950-02-20,0.13478411371853488,0.12825367911131574,5.0,0.18605312014712166
1950-02-21,-0.004253843470609541,0.7219179209228149,7.0,0.7219304535298342
1950-02-22,-0.22821488365852285,0.8073995394427914,7.0,0.8390328059234066
