year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category,landfall_date,month,date,RMM1,RMM2,phase,amplitude,formation_region,typhoon_category,landfall_region
1967,6702,Anita,1967-06-30 06:00:00,23.006222089397696,116.54844447765058,30.0,980.0,1,45.0,2,1967-06-30,6,1967-06-30,1.3501059087803342,0.4096111460972907,5.0,1.4108746421743883,Open WNP,TCs,south China
1967,6705,Dot,1967-07-30 00:00:00,40.73726043418633,122.0550685866087,10.0,1000.0,0,35.0,2,1967-07-30,7,1967-07-30,1.4532695972309402,0.8503268198724729,5.0,1.6837601440912575,North WNP,TCs,east/north China
1967,6706,Fran,1967-08-02 18:00:00,21.43383958178921,111.0112798605964,25.0,975.0,1,35.0,2,1967-08-02,8,1967-08-02,1.331162958436693,0.9380730218680124,5.0,1.628488813676813,South China Sea,TCs,south China
1967,6708,(nameless),1967-07-31 06:00:00,25.445765548469677,119.62540670918196,20.0,992.0,1,20.0,1,1967-07-31,7,1967-07-31,1.509328242133901,0.6382195989070057,5.0,1.6387177911196398,North WNP,Storms,east/north China
1967,6711,Kate,1967-08-21 18:00:00,22.09779749462521,113.00220250537478,15.0,986.0,0,35.0,2,1967-08-21,8,1967-08-21,0.8568631496864975,-0.5157349739385576,4.0,1.0000985054653715,South WNP,TCs,south China
1967,6714,Nora,1967-08-29 18:00:00,24.115608094521107,121.63293929109167,30.0,985.0,1,35.0,2,1967-08-29,8,1967-08-29,0.7953276897899503,0.90185142242808,6.0,1.2024483865356428,Open WNP,TCs,east/north China
1967,6715,Patsy,1967-09-06 00:00:00,19.18246533425791,110.58958401109491,15.0,993.0,0,25.0,1,1967-09-06,9,1967-09-06,-0.8004975256653825,1.2429837227418024,7.0,1.4784467604880027,North WNP,Storms,south China
1968,6803,Nadine,1968-07-28 12:00:00,23.045310966251684,120.07551827708612,15.0,994.0,0,35.0,2,1968-07-28,7,1968-07-28,1.6780720802533031,0.8765340374718936,5.0,1.89320834177658,South WNP,TCs,south China
1968,6807,Polly,1968-08-18 00:00:00,47.1608759115805,134.2225985414712,10.0,1000.0,0,40.0,2,1968-08-18,8,1968-08-18,0.8841699657336801,1.0751468265957314,6.0,1.3920119349504043,Open WNP,TCs,east/north China
1968,6806,Rose,1968-08-12 12:00:00,18.89016174506204,110.49290201316788,30.0,975.0,1,35.0,2,1968-08-12,8,1968-08-12,1.3957964587627332,0.5281499882470904,5.0,1.4923773532119775,Open WNP,TCs,south China
1968,6808,Shirley,1968-08-21 12:00:00,22.148500442504883,114.22985676356724,35.0,965.0,2,40.0,2,1968-08-21,8,1968-08-21,0.6819058532803777,1.2239827248189723,6.0,1.401117162621783,Open WNP,TCs,south China
