year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category
1965,6514,Nadine,1965-08-17 18:00:00,18.998046778255677,110.51757899569891,25.0,990.0,1,30.0,1
1965,6517,Rose,1965-09-05 12:00:00,21.458723359120782,111.07080860993428,15.0,992.0,0,50.0,2
1965,6521,Agnes,1965-09-27 18:00:00,21.575130575465586,111.87460827360324,15.0,995.0,0,30.0,1
1965,6522,Elaine,1965-11-13 06:00:00,20.026648151753186,110.7699861138149,9.5,1008.0,0,25.0,1
1966,6603,Judy,1966-05-30 12:00:00,22.964379710072247,120.15923405773479,25.0,988.0,1,45.0,2
1966,6605,Lola,1966-07-13 18:00:00,22.148500442504883,114.037642288208,20.0,990.0,1,30.0,1
1966,6606,Mamie,1966-07-17 18:00:00,21.829847940625445,112.65851700187349,15.0,1000.0,0,35.0,2
1966,6608,Ora,1966-07-26 12:00:00,21.4584926984468,109.44641168248512,30.0,978.0,1,45.0,2
1966,6609,Phyllis,1966-08-01 18:00:00,18.200726817243083,109.69031442225565,15.0,998.0,0,20.0,1
1966,6611,Tess,1966-08-17 00:00:00,26.35479399095353,119.90639198793804,20.0,985.0,1,45.0,2
1966,6612,Winnie,1966-08-26 06:00:00,39.60149575601853,122.83703257624421,12.0,1002.0,0,35.0,2
1966,6614,Alice,1966-09-03 12:00:00,26.4986606420827,119.7825883470751,12.0,990.0,0,60.0,3
1966,6615,Cora,1966-09-07 00:00:00,26.92729257067076,120.15995634452432,35.0,978.0,2,65.0,3
1967,6702,Anita,1967-06-30 06:00:00,23.006222089397696,116.54844447765058,30.0,980.0,1,45.0,2
1967,6704,Clara,1967-07-11 12:00:00,24.151422454443907,121.65772407288975,30.0,985.0,1,50.0,2
1967,6705,Dot,1967-07-30 00:00:00,40.73726043418633,122.0550685866087,10.0,1000.0,0,35.0,2
1967,6706,Fran,1967-08-02 18:00:00,21.43383958178921,111.0112798605964,25.0,975.0,1,35.0,2
1967,6708,(nameless),1967-07-31 06:00:00,25.445765548469673,119.62540670918196,20.0,992.0,1,20.0,1
1967,6710,Iris,1967-08-17 00:00:00,21.526344823116936,111.66838621225968,9.5,995.0,0,25.0,1
1967,6711,Kate,1967-08-21 18:00:00,22.097797494625212,113.00220250537478,15.0,986.0,0,35.0,2
1967,6714,Nora,1967-08-29 18:00:00,24.115608094521107,121.63293929109169,30.0,985.0,1,35.0,2
1967,6715,Patsy,1967-09-06 00:00:00,19.18246533425791,110.58958401109491,15.0,993.0,0,25.0,1
1967,6720,Emma,1967-11-08 00:00:00,20.98552181244581,110.52895637510838,20.0,990.0,1,65.0,3
1967,6721,Gilda,1967-11-18 06:00:00,23.61528676063386,121.52538655927559,35.0,980.0,2,70.0,3
1968,6803,Nadine,1968-07-28 12:00:00,23.045310966251684,120.07551827708613,15.0,994.0,0,35.0,2
1968,6807,Polly,1968-08-18 00:00:00,47.1608759115805,134.2225985414712,10.0,1000.0,0,40.0,2
1968,6806,Rose,1968-08-12 12:00:00,18.89016174506204,110.49290201316789,30.0,975.0,1,35.0,2
1968,6808,Shirley,1968-08-21 12:00:00,22.148500442504883,114.22985676356724,35.0,965.0,2,40.0,2
1968,6811,Wendy,1968-09-08 18:00:00,21.04056649863053,110.54906397808844,30.0,980.0,1,70.0,3
1968,6814,Elaine,1968-10-01 12:00:00,22.960632486463002,116.28582335138266,20.0,1003.0,1,75.0,3
1969,6903,Viola,1969-07-28 06:00:00,22.846890919130107,116.14237660186406,40.0,950.0,2,75.0,3
1969,6906,Betty,1969-08-08 12:00:00,26.286518774647288,119.74044367605815,35.0,970.0,2,40.0,2
1969,6909,(nameless),1969-09-10 00:00:00,22.70005826831772,120.25001456707943,20.0,993.0,1,25.0,1
1969,6911,Elsie,1969-09-27 12:00:00,24.62256808393399,118.42778213141123,15.0,990.0,0,85.0,3
1970,7003,Ruby,1970-07-16 06:00:00,22.649107597393385,114.73454673826103,15.0,991.0,0,25.0,1
1970,7004,(nameless),1970-08-03 00:00:00,22.642901955484476,114.58561569793416,15.0,995.0,0,25.0,1
